Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45714854,The Hunting Wives,May Cobb,"Cobb, May",,"=""0593101138""","=""9780593101131""",0,3.48,Berkley,Hardcover,368,2021,2021,,2025/12/20,currently-reading,currently-reading (#1),currently-reading,,,,1,0
5203,She’s Come Undone,Wally Lamb,"Lamb, Wally",,"=""0671021001""","=""9780671021009""",0,3.92,Pocket,Mass Market Paperback,465,1998,1992,,2025/12/08,to-read,to-read (#136),to-read,,,,0,0
54959387,"Juror Number 2: The Story of a Murder, the Agony of a Neighborhood",Efrem Sigel,"Sigel, Efrem",,"=""1732425523""","=""9781732425521""",0,3.35,The Writers' Press,Hardcover,146,2020,2020,,2025/12/08,to-read,to-read (#135),to-read,,,,0,0
216247518,Audition,Katie Kitamura,"Kitamura, Katie",,"=""059385232X""","=""9780593852323""",0,3.33,Riverhead Books,Hardcover,197,2025,2025,,2025/12/07,to-read,to-read (#134),to-read,,,,0,0
21412400,The First Bad Man,Miranda July,"July, Miranda",,"=""1439172560""","=""9781439172568""",4,3.67,Scribner,Hardcover,288,2015,2015,,2025/11/24,,,read,,,,1,0
36373223,Pretend I'm Dead,Jen Beagin,"Beagin, Jen",,"=""1501183931""","=""9781501183935""",0,3.71,Scribner,Hardcover,240,2018,2015,,2025/11/28,to-read,to-read (#133),to-read,,,,0,0
223001257,The Correspondent,Virginia      Evans,"Evans, Virginia",,"=""0593798430""","=""9780593798430""",0,4.57,Crown,Hardcover,304,2025,2025,,2025/11/27,to-read,to-read (#132),to-read,,,,0,0
44088751,Pizza Girl,Jean Kyoung Frazier,"Frazier, Jean Kyoung",,"=""038554572X""","=""9780385545723""",0,3.35,Doubleday,Hardcover,208,2020,2020,,2025/11/24,to-read,to-read (#131),to-read,,,,0,0
197798168,All Fours,Miranda July,"July, Miranda",,"=""0593190262""","=""9780593190265""",5,3.41,Riverhead Books,Hardcover,336,2024,2024,2024/11/10,2024/05/31,loved,loved (#25),read,"This book delivers in a way that only Miranda July knows how. I’ve read her first book, The First Bad Man at least three times on account of it being the only book I owned from ages 18-23 (this is a joke but not really). Maybe because of this, reading this novel felt like going inside my best friend’s head and defending her 100% despite not fully agreeing with her actions. Just the same as the protagonist in her first novel, I don’t understand her and yet I understand her better than I know myself. Throughout this book, she’s doing stuff that I would never do, and yet I am her, and you know what.. I AM her. Not that she is me, but i am her. When I read this book, I was her. If that makes sense. ",,,2,0
214268974,Jane and Dan at the End of the World,Colleen Oakley,"Oakley, Colleen",,"=""0593200829""","=""9780593200827""",3,3.68,Berkley,Hardcover,368,2025,2025,2025/11/16,2025/09/16,,,read,,,,1,0
